Texto,Categoria_Real,Categoria_Predicha
pioneering work discovery heavy elementary particle new kind,physics,physics
method making paths electrically charged particles visible condensation vapour,physics,physics
developing cryo electron microscopy high resolution structure determination biomolecules solution,chemistry,chemistry
consideration deep learning critical research tribute creative energy freshness style lyrical force characterize poetic masterpieces,literature,literature
humanitarian efforts help wounded soldiers create international understanding,peace,peace
palladium catalyzed cross couplings organic synthesis,chemistry,chemistry
innumerable guises portrays surprising involvement outsider,literature,medicine
development wilson cloud chamber method discoveries therewith fields nuclear physics cosmic radiation,physics,physics
recognition service rendered precision measurements physics discovery anomalies nickel steel alloys,physics,physics
discoveries concerning interaction tumour viruses genetic material cell,medicine,medicine
decisive contributions large project led discovery field particles w z communicators weak interaction,physics,physics
acting link peace societies various countries helping organize world rallies international peace movement,peace,peace
penetrating investigation called parity laws led important discoveries regarding elementary particles,physics,physics
discovery blackbody form anisotropy cosmic microwave background radiation,physics,physics
theories developed independently concerning course chemical reactions,chemistry,chemistry
discovery restriction enzymes application problems molecular genetics,medicine,medicine
efforts end use sexual violence weapon war armed conflict,peace,peace
development method genome editing,chemistry,physics
discoveries chemistry transuranium elements,chemistry,chemistry
contributions dynamic macroeconomics time consistency economic policy driving forces business cycles,economics,economics
discovery development green fluorescent protein gfp,chemistry,chemistry
discovery bacterium helicobacter pylori role gastritis peptic ulcer disease,medicine,medicine
fundamental work field quantum electronics led construction oscillators amplifiers based maser laser principle,physics,physics
discovery positron,physics,physics
discovery mechanism spontaneous broken symmetry subatomic physics,physics,physics
work cathode rays,physics,physics
discoveries important principles drug treatment,medicine,medicine
contributions behavioural economics,economics,economics
work mechanisms electron transfer reactions especially metal complexes,chemistry,chemistry
discovery exclusion principle called pauli principle,physics,physics
recognition work linkage atoms molecules thrown new light earlier investigations opened new fields research especially inorganic chemistry,chemistry,physics
determinations x ray techniques structures important biochemical substances,chemistry,chemistry
inspired writings growing boldness penetration exemplify classical humanitarian ideals high qualities style,literature,literature
having created new poetic expressions great american song tradition,literature,literature
discovery violations fundamental symmetry principles decay neutral k mesons,physics,physics
work serum therapy especially application diphtheria opened new road domain medical science placed hands physician victorious weapon illness deaths,medicine,medicine
discovery g proteins role proteins signal transduction cells,medicine,medicine
developing effective constructive international organization capable giving life principles aims expressed charter,peace,peace
efforts build disseminate greater knowledge man climate change lay foundations measures needed counteract change,peace,peace
contributions dynamic macroeconomics time consistency economic policy driving forces business cycles,economics,economics
recognition extraordinary services rendered work sugar purine syntheses,chemistry,chemistry
discoveries concerning replication mechanism genetic structure viruses,medicine,medicine
discoveries concerning genetic control enzyme virus synthesis,medicine,medicine
contributions concerning determination base sequences nucleic acids,chemistry,chemistry
efforts achieve peace international cooperation particular decisive initiative resolve border conflict neighbouring eritrea,peace,peace
development metathesis method organic synthesis,chemistry,chemistry
discoveries concerning new mechanisms origin dissemination infectious diseases,medicine,medicine
having developed applied dynamic models analysis economic processes,economics,economics
writing combination broad perspective time sensitive skill characterization contributed renewal german literature,literature,literature
fight nuclear arms race east west,peace,peace
discoveries concerning liver therapy cases anaemia,medicine,medicine
discovery penicillin curative effect various infectious diseases,medicine,medicine
contributions concerning dynamics chemical elementary processes,chemistry,chemistry
work lasting peace central america,peace,peace
deep understanding country s peasantry exquisite art portrayed way life relationship nature,literature,literature
discovery mechanism electrocardiogram,medicine,medicine
scientific work developed static dynamic economic theory actively contributed raising level analysis economic science,economics,economics
interpretation genetic code function protein synthesis,medicine,medicine
contribution understanding biological energy transfer formulation chemiosmotic theory,chemistry,physics
efforts help refugees leave camps return life freedom dignity,peace,peace
source inspiration repressed people especially latin america,peace,literature
discoveries concerning magnetic resonance imaging,medicine,medicine
having extended domain microeconomic analysis wide range human behaviour interaction including nonmarket behaviour,economics,economics
methodological contributions analysis causal relationships,economics,economics
discovery means mass spectrograph isotopes large number non radioactive elements enunciation number rule,chemistry,chemistry
having laid foundations mechanism design theory,economics,economics
discovery restriction enzymes application problems molecular genetics,medicine,medicine
peace prize laureates represent civil society home countries years promoted right criticise power protect fundamental rights citizens outstanding effort document war crimes human right abuses abuse power demonstrate significance civil society peace democracy,peace,peace
discoveries concerning novel therapy infections caused roundworm parasites,medicine,medicine
having enhanced understanding conflict cooperation game theory analysis,economics,economics
pioneering work international peace movement compassionate effort relieve human suffering promoting fraternity nations,peace,peace
discovery genetic principle generation antibody diversity,medicine,medicine
analysis monetary fiscal policy different exchange rate regimes analysis optimum currency areas,economics,economics
development methodology chemical synthesis solid matrix,chemistry,chemistry
lifelong effort conquer hunger want helping remove major cause military conflict war,peace,peace
ground breaking experimental methods enable measuring manipulation individual quantum systems,physics,physics
discovery insulin,medicine,medicine
invention method micro analysis organic substances,chemistry,chemistry
studies structure function ribosome,chemistry,chemistry
discovery citric acid cycle,medicine,medicine
pioneering theories condensed matter especially liquid helium,physics,physics
invention automatic regulators use conjunction gas accumulators illuminating lighthouses buoys,physics,chemistry
development click chemistry bioorthogonal chemistry,chemistry,chemistry
contributions theory atomic nucleus elementary particles particularly discovery application fundamental symmetry principles,physics,physics
efforts prevent nuclear energy used military purposes ensure nuclear energy peaceful purposes used safest possible way,peace,peace
discovery ubiquitin mediated protein degradation,chemistry,chemistry
lyrical poetry spanish language constitutes example high spirit artistical purity,literature,literature
work draw attention catastrophic humanitarian consequences use nuclear weapons ground breaking efforts achieve treaty based prohibition weapons,peace,peace
effort expose fight considers main cause war anarchy international relations,peace,peace
discovery interplay disorder fluctuations physical systems atomic planetary scales,physics,physics
discovery development diene synthesis,chemistry,chemistry
courageous efforts founding movement end violent conflict northern ireland,peace,peace
discovery tumour inducing viruses,medicine,medicine
physical modelling earth s climate quantifying variability reliably predicting global warming,physics,physics
discoveries concerning reversible protein phosphorylation biological regulatory mechanism,medicine,medicine
rich intensive prose restrained compassion forms challenging vision man s vulnerability,literature,literature
discoveries concerning genetic control enzyme virus synthesis,medicine,medicine
discovery new type pulsar discovery opened new possibilities study gravitation,physics,physics
mastery historical biographical description brilliant oratory defending exalted human values,literature,literature
development click chemistry bioorthogonal chemistry,chemistry,chemistry
development radioimmunoassays peptide hormones,medicine,medicine
empirical research cause effect macroeconomy,economics,economics
discovery new type pulsar discovery opened new possibilities study gravitation,physics,physics
theories concerning specificity development control immune discovery principle production monoclonal antibodies,medicine,medicine
recognition brilliant literary achievements characterized nobility style profound human sympathy grace true gallic temperament,literature,literature
contributions concerning dynamics chemical elementary processes,chemistry,chemistry
work biochemically important sulphur compounds especially synthesis polypeptide hormone,chemistry,chemistry
